GenBank	Organsim Species	Path_GenBank	Path_GenBank_genomic.fna	FtpPath_GenBank_cds_from_genomic.fna
GCA_000006945.2	Salmonella enterica	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/945/GCA_000006945.2_ASM694v2	/public/Database/Bacteria/Type/202006/rename/genome/Salmonella_enterica.LT2.GCA_000006945.2.fa	/public/Database/Bacteria/Type/202006/rename/gene/Salmonella_enterica.LT2.GCA_000006945.2.gene.fa
GCA_000195955.2	Mycobacterium tuberculosis	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2	/public/Database/Bacteria/Type/202006/rename/genome/Mycobacterium_tuberculosis.H37Rv.GCA_000195955.2.fa	/public/Database/Bacteria/Type/202006/rename/gene/Mycobacterium_tuberculosis.H37Rv.GCA_000195955.2.gene.fa
GCA_000009045.1	Bacillus subtilis	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/045/GCA_000009045.1_ASM904v1	/public/Database/Bacteria/Type/202006/rename/genome/Bacillus_subtilis.168.GCA_000009045.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Bacillus_subtilis.168.GCA_000009045.1.gene.fa
GCA_001302585.1	Kibdelosporangium phytohabitans	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/302/585/GCA_001302585.1_ASM130258v1	/public/Database/Bacteria/Type/202006/rename/genome/Kibdelosporangium_phytohabitans.KLBMP1111.GCA_001302585.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Kibdelosporangium_phytohabitans.KLBMP1111.GCA_001302585.1.gene.fa
GCA_009498035.1	Saccharothrix syringae	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/498/035/GCA_009498035.1_ASM949803v1	/public/Database/Bacteria/Type/202006/rename/genome/Saccharothrix_syringae.NRRL-B-16468.GCA_009498035.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Saccharothrix_syringae.NRRL-B-16468.GCA_009498035.1.gene.fa
GCA_001542625.2	Streptomyces griseochromogenes	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/542/625/GCA_001542625.2_ASM154262v2	/public/Database/Bacteria/Type/202006/rename/genome/Streptomyces_griseochromogenes.ATCC-14511.GCA_001542625.2.fa	/public/Database/Bacteria/Type/202006/rename/gene/Streptomyces_griseochromogenes.ATCC-14511.GCA_001542625.2.gene.fa
GCA_000024025.1	Catenulispora acidiphila	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/025/GCA_000024025.1_ASM2402v1	/public/Database/Bacteria/Type/202006/rename/genome/Catenulispora_acidiphila.DSM-44928.GCA_000024025.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Catenulispora_acidiphila.DSM-44928.GCA_000024025.1.gene.fa
GCA_003955715.1	Streptomyces aquilus	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/955/715/GCA_003955715.1_ASM395571v1	/public/Database/Bacteria/Type/202006/rename/genome/Streptomyces_aquilus.GGCR-6.GCA_003955715.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Streptomyces_aquilus.GGCR-6.GCA_003955715.1.gene.fa
GCA_008087625.1	Aquisphaera giovannonii	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/087/625/GCA_008087625.1_ASM808762v1	/public/Database/Bacteria/Type/202006/rename/genome/Aquisphaera_giovannonii.OJF2.GCA_008087625.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Aquisphaera_giovannonii.OJF2.GCA_008087625.1.gene.fa
GCA_000331735.1	Myxococcus stipitatus	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/735/GCA_000331735.1_ASM33173v1	/public/Database/Bacteria/Type/202006/rename/genome/Myxococcus_stipitatus.DSM-14675.GCA_000331735.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Myxococcus_stipitatus.DSM-14675.GCA_000331735.1.gene.fa
GCA_000024865.1	Streptosporangium roseum	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/865/GCA_000024865.1_ASM2486v1	/public/Database/Bacteria/Type/202006/rename/genome/Streptosporangium_roseum.DSM-43021.GCA_000024865.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Streptosporangium_roseum.DSM-43021.GCA_000024865.1.gene.fa
GCA_000737325.2	Sandaracinus amylolyticus	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/737/325/GCA_000737325.2_ASM73732v2	/public/Database/Bacteria/Type/202006/rename/genome/Sandaracinus_amylolyticus.DSM-53668.GCA_000737325.2.fa	/public/Database/Bacteria/Type/202006/rename/gene/Sandaracinus_amylolyticus.DSM-53668.GCA_000737325.2.gene.fa
GCA_001685355.1	Streptomyces lincolnensis	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/685/355/GCA_001685355.1_ASM168535v1	/public/Database/Bacteria/Type/202006/rename/genome/Streptomyces_lincolnensis.NRRL-2936.GCA_001685355.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Streptomyces_lincolnensis.NRRL-2936.GCA_001685355.1.gene.fa
GCA_000220945.1	Amycolatopsis mediterranei	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/945/GCA_000220945.1_ASM22094v1	/public/Database/Bacteria/Type/202006/rename/genome/Amycolatopsis_mediterranei.S699.GCA_000220945.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Amycolatopsis_mediterranei.S699.GCA_000220945.1.gene.fa
GCA_008704495.1	Streptomyces kanamyceticus	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/704/495/GCA_008704495.1_ASM870449v1	/public/Database/Bacteria/Type/202006/rename/genome/Streptomyces_kanamyceticus.ATCC-12853.GCA_008704495.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Streptomyces_kanamyceticus.ATCC-12853.GCA_008704495.1.gene.fa
GCA_000255295.1	Corallococcus coralloides	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/295/GCA_000255295.1_ASM25529v1	/public/Database/Bacteria/Type/202006/rename/genome/Corallococcus_coralloides.DSM-2259.GCA_000255295.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Corallococcus_coralloides.DSM-2259.GCA_000255295.1.gene.fa
GCA_001701025.1	Lentzea guizhouensis	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/701/025/GCA_001701025.1_ASM170102v1	/public/Database/Bacteria/Type/202006/rename/genome/Lentzea_guizhouensis.DHS-C013.GCA_001701025.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Lentzea_guizhouensis.DHS-C013.GCA_001701025.1.gene.fa
GCA_008704715.1	Streptomyces chartreusis	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/704/715/GCA_008704715.1_ASM870471v1	/public/Database/Bacteria/Type/202006/rename/genome/Streptomyces_chartreusis.ATCC-14922.GCA_008704715.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Streptomyces_chartreusis.ATCC-14922.GCA_008704715.1.gene.fa
GCA_000525635.1	Kutzneria albida	/public/Database/Bacteria/Genome/ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/525/635/GCA_000525635.1_ASM52563v1	/public/Database/Bacteria/Type/202006/rename/genome/Kutzneria_albida.DSM-43870.GCA_000525635.1.fa	/public/Database/Bacteria/Type/202006/rename/gene/Kutzneria_albida.DSM-43870.GCA_000525635.1.gene.fa
