GCA_000018105.1	Acaryochloris marina
GCA_903652925.1	Achromobacter anxifer
GCA_000964365.1	Acidisphaera rubrifaciens
GCA_003024525.3	Acinetobacter cumulans
GCA_000716095.1	Actinoalloteichus cyanogriseus
GCA_002234535.1	Actinoalloteichus hoggarensis
GCA_900128465.1	Actinomyces bouchesdurhonensis
GCA_900155435.1	Actinomyces provencensis
GCA_900104745.1	Actinopolymorpha singaporensis
GCA_003073115.1	Acuticoccus kandeliae
GCA_003602075.1	Aestuariisphingobium litorale
GCA_000421945.1	Agrobacterium radiobacter
GCA_004134805.1	Agromyces atrinae
GCA_004366335.1	Agromyces flavus
GCA_001313265.1	Algoriphagus boritolerans
GCA_000768055.1	Alkalispirochaeta odontotermitis
GCA_009827405.1	Altererythrobacter aestuarii
GCA_001866055.1	Anaerobacillus alkalidiazotrophicus
GCA_001865995.1	Anaerobacillus arseniciselenatis
GCA_900142215.1	Anaerocolumna jejuensis
GCA_001050195.2	Anaerolinea thermolimosa
GCA_000191885.2	Anaerophaga thermohalophila
GCA_001015055.1	Aneurinibacillus tyrosinisolvens
GCA_001027285.1	Archangium gephyra
GCA_003387095.1	Archangium gephyra
GCA_000733295.1	Archangium violaceum
GCA_001293545.1	Ardenticatena maritima
GCA_002019595.1	Bacillus abyssalis
GCA_002019645.1	Bacillus alkalitelluris
GCA_001648555.1	Bacillus aquimaris
GCA_000986785.1	Bacillus campisalis
GCA_000504145.1	Bacillus cihuensis
GCA_900156875.1	Bacillus dakarensis
GCA_008923245.1	Bacillus depressus
GCA_001648575.1	Bacillus horikoshii
GCA_001375515.1	Bacillus kwashiorkori
GCA_000334155.1	Bacillus ligniniphilus
GCA_011008845.1	Bacillus mesophilus
GCA_001375535.1	Bacillus niameyensis
GCA_900445435.1	Bacillus tequilensis
GCA_002119445.1	Bacillus thuringiensis
GCA_000245315.1	Bacillus vallismortis
GCA_001688725.2	Bacteroides caecimuris
GCA_002221665.1	Bacteroides caecimuris
GCA_010206415.1	Bacteroides caecimuris
GCA_000015445.1	Bartonella bacilliformis
GCA_001559035.2	Bartonella bacilliformis
GCA_902162175.1	Bartonella saheliensis
GCA_001306055.1	Bellilinea caldifistulae
GCA_001050215.2	Bellilinea caldifistulae
GCA_900445615.1	Bifidobacterium adolescentis
GCA_001311295.1	Bifidobacterium breve
GCA_001039595.1	Bizionia psychrotolerans
GCA_003258315.1	Bradymonas sediminis
