accession	organism specise	kmerfinder(Com)	kmerfinder(Type)	fIDBAC	ANI(%)
GCA_000783435.2	Achromobacter insolitus	Achromobacter insolitus	Achromobacter insolitus	Achromobacter insolitus	98.93
GCA_001558915.2	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Achromobacter xylosoxidans	92.8391
GCA_001558755.2	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Achromobacter xylosoxidans	92.2852
GCA_001559195.2	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Achromobacter xylosoxidans	99.0063
GCA_002083165.2	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Achromobacter xylosoxidans	98.762
GCA_001471535.2	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Achromobacter xylosoxidans	Achromobacter xylosoxidans	98.352
GCA_001471855.2	Acinetobacter baumannii	Acinetobacter baumannii	--	Acinetobacter baumannii	97.7083
GCA_003812385.1	Acinetobacter baumannii	Acinetobacter baumannii	Acinetobacter baumannii	Acinetobacter baumannii	97.794
GCA_003812065.1	Acinetobacter baumannii	Acinetobacter baumannii	Acinetobacter baumannii	Acinetobacter baumannii	97.3576
GCA_003938895.1	Acinetobacter haemolyticus	Acinetobacter haemolyticus	Acinetobacter haemolyticus	Acinetobacter haemolyticus	98.3694
GCA_002951295.1	Acinetobacter nosocomialis	Acinetobacter nosocomialis	Acinetobacter nosocomialis	Acinetobacter nosocomialis	97.9551
GCA_002083135.2	Aerococcus viridans	Aerococcus viridans	Aerococcus viridans	Aerococcus viridans	94.7949
GCA_000783775.2	Aeromonas caviae	Aeromonas caviae	Aeromonas caviae	Aeromonas caviae	98.2813
GCA_000783695.2	Aeromonas caviae	Aeromonas sp.	Aeromonas caviae	Aeromonas caviae	97.8297
GCA_000783715.2	Aeromonas caviae	Aeromonas caviae	Aeromonas caviae	Aeromonas caviae	98.3095
GCA_000783635.2	Aeromonas hydrophila	Aeromonas hydrophila	Aeromonas hydrophila	Vibrio proteolyticus	97.1605
GCA_002083125.2	Aggregatibacter aphrophilus	Aggregatibacter aphrophilus	--	Aggregatibacter aphrophilus	97.1179
GCA_003813085.1	Alcaligenes faecalis	Alcaligenes faecalis	Alcaligenes faecalis	Alcaligenes faecalis	99.9986
GCA_002208785.2	Bacillus anthracis	Bacillus anthracis	Bacillus anthracis	Bacillus anthracis	99.9908
GCA_001559035.2	Bartonella bacilliformis	Bartonella bacilliformis	Bartonella bacilliformis	Bartonella bacilliformis	100
GCA_001525625.2	Bartonella henselae	Bartonella henselae	Bartonella henselae	Bartonella henselae	100
GCA_003813065.1	Bifidobacterium breve	Bifidobacterium breve	Bifidobacterium breve	Bifidobacterium breve	99.9983
GCA_003937715.1	Bordetella bronchiseptica	Bordetella bronchiseptica	Bordetella bronchiseptica	Bordetella parapertussis	98.4937
GCA_003938745.1	Bordetella bronchiseptica	Bordetella bronchiseptica	Bordetella bronchiseptica	Bordetella parapertussis	98.5116
GCA_001559055.2	Bordetella bronchiseptica	Bordetella bronchiseptica	Bordetella bronchiseptica	Bordetella parapertussis	99.4527
GCA_001525545.2	Bordetella parapertussis	Bordetella parapertussis	Bordetella parapertussis	Bordetella parapertussis	100
GCA_001525555.2	Bordetella pertussis 18323	Bordetella pertussis	Bordetella pertussis	Bordetella pertussis	100
GCA_002083095.2	Bordetella pertussis	Bordetella pertussis	Bordetella pertussis	Bordetella pertussis	99.9967
