accession	organism specise	kmerfinder(Com)	kmerfinder(Type)	fIDBAC	ANI(%)
NCTC10002	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.182
NCTC10004	Klebsiella aerogenes	Klebsiella aerogenes	Klebsiella pneumoniae	Klebsiella pneumoniae	98.9248
NCTC10005	Enterobacter cloacae	Enterobacter cloacae	Enterobacter cloacae	Enterobacter cloacae	99.9946
NCTC10016	Elizabethkingia meningoseptica	Elizabethkingia meningoseptica	Elizabethkingia meningoseptica	Elizabethkingia meningoseptica	100
NCTC10035	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	Staphylococcus aureus	97.7114
NCTC10038	Pseudomonas fluorescens	Pseudomonas fluorescens	Pseudomonas fluorescens	Pseudomonas fluorescens	100
NCTC10047	Salmonella enterica subsp. arizonae	Salmonella enterica	Salmonella enterica	Salmonella enterica	99.4537
NCTC10060	Salmonella enterica subsp. diarizonae	Salmonella enterica	Salmonella enterica	Salmonella enterica	99.9479
NCTC10081	Salmonella enterica subsp. enterica	Salmonella enterica	Salmonella enterica	Salmonella enterica	98.6187
NCTC10085	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	Streptococcus pyogenes	98.9383
NCTC10086	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	98.1529
NCTC10087	Escherichia coli	Escherichia coli	Shigella sonnei	Escherichia coli	99.1448
NCTC10089	Escherichia coli	Escherichia coli	Escherichia coli	Escherichia coli	98.253
NCTC10124	Mycoplasma synoviae	Mycoplasma synoviae	Mycoplasma synoviae	Mycoplasma synoviae	100
NCTC10204	Pasteurella multocida subsp. gallicida	Pasteurella multocida	Pasteurella multocida	Pasteurella multocida	100
NCTC10211	Serratia marcescens	Serratia marcescens	Serratia marcescens	Serratia marcescens	99.9944
NCTC10212	Neisseria animalis	Neisseria animalis	Neisseria animalis	Neisseria animalis	100
NCTC10213	Klebsiella edwardsii var. atlantae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	98.9553
NCTC10217	Yersinia pseudotuberculosis	Yersinia pseudotuberculosis	Yersinia pseudotuberculosis	Yersinia pseudotuberculosis	99.7622
NCTC10246	Klebsiella pneumoniae	Klebsiella pneumoniae	--	Klebsiella pneumoniae	99.9964
NCTC10258	Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	--	Stenotrophomonas maltophilia	98.2829
NCTC10286	Providencia alcalifaciens	Providencia alcalifaciens	Providencia alcalifaciens	Providencia alcalifaciens	99.9854
NCTC10294	Neisseria cinerea	Neisseria cinerea	Neisseria cinerea	Neisseria cinerea	100
NCTC10295	Neisseria denitrificans	Neisseria animalis	Bergeriella denitrificans	Bergeriella denitrificans	100
NCTC10296	Neisseria canis	Neisseria canis	Neisseria canis	Neisseria canis	100
NCTC10313	Klebsiella pneumoniae subsp. ozaenae	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	99.4373
