accession	organism specise	kmerfinder(Com)	kmerfinder(Type)	fIDBAC	ANI(%)
GCA_000023105.1	Beutenbergia cavernae	Beutenbergia cavernae	Beutenbergia cavernae	Beutenbergia cavernae	100
GCA_000023125.1	Dyadobacter fermentans	Dyadobacter fermentans	Dyadobacter fermentans	Dyadobacter fermentans	100
GCA_000023225.1	Desulfomicrobium baculatum	Desulfomicrobium baculatum	Desulfomicrobium baculatum	Desulfomicrobium baculatum	100
GCA_000023245.1	Actinosynnema mirum	Actinosynnema mirum	Actinosynnema mirum	Actinosynnema mirum	100
GCA_000023265.1	Acidimicrobium ferrooxidans	Acidimicrobium ferrooxidans	Acidimicrobium ferrooxidans	Acidimicrobium ferrooxidans	100
GCA_000023285.1	Capnocytophaga ochracea	Capnocytophaga ochracea	Capnocytophaga ochracea	Capnocytophaga ochracea	100
GCA_000023405.1	Brachybacterium faecium	Brachybacterium faecium	Brachybacterium faecium	Brachybacterium faecium	100
GCA_000023825.1	Pedobacter heparinus	Pedobacter heparinus	Pedobacter heparinus	Pedobacter heparinus	100
GCA_000023845.1	Cryptobacterium curtum	Cryptobacterium curtum	Cryptobacterium curtum	Cryptobacterium curtum	100
GCA_000023865.1	Saccharomonospora viridis	Saccharomonospora viridis	Saccharomonospora viridis	Saccharomonospora viridis	100
GCA_000023885.1	Slackia heliotrinireducens	Slackia heliotrinireducens	Slackia heliotrinireducens	Slackia heliotrinireducens	100
GCA_000023905.1	Leptotrichia buccalis	Leptotrichia buccalis	Leptotrichia buccalis	Leptotrichia buccalis	100
GCA_000023925.1	Kytococcus sedentarius	Kytococcus sedentarius	Kytococcus sedentarius	Kytococcus sedentarius	100
GCA_000024005.1	Chitinophaga pinensis	Chitinophaga pinensis	Chitinophaga pinensis	Chitinophaga pinensis	100
GCA_000024025.1	Catenulispora acidiphila	Catenulispora acidiphila	Catenulispora acidiphila	Catenulispora acidiphila	100
GCA_000024065.1	Jonesia denitrificans	Jonesia denitrificans	Jonesia denitrificans	Jonesia denitrificans	100
GCA_000024085.1	Kangiella koreensis	Kangiella koreensis	Kangiella koreensis	Kangiella koreensis	100
GCA_000024105.1	Anaerococcus prevotii	Anaerococcus prevotii	Anaerococcus prevotii	Anaerococcus prevotii	100
GCA_000024205.1	Desulfofarcimen acetoxidans	Desulfofarcimen acetoxidans	Desulfofarcimen acetoxidans	Desulfofarcimen acetoxidans	100
GCA_000024225.1	Atopobium parvulum	Atopobium parvulum	Atopobium parvulum	Lancefieldella parvula	100
GCA_000024265.1	Eggerthella lenta	Eggerthella lenta	Eggerthella lenta	Eggerthella lenta	100
GCA_000024285.1	Alicyclobacillus acidocaldarius	Alicyclobacillus acidocaldarius	Alicyclobacillus acidocaldarius	Alicyclobacillus acidocaldarius	100
